name,price,avgpoint,category,location,num_reviews,dish_categories,time_open,dieu_hoa,bong_da,wifi,cuisines,min_price,max_price,avg_price,menu
Lan Béo - Bún Miến Ngan & Cháo Sườn Sụn,30000 - 50000,7.0,Quán ăn,"42 Nguyễn Công Trứ, Quận Hai Bà Trưng, Hà Nội",17,"Bún, Món nước, Miến", 06:00 - 14:00,0,0,0,bún món nước miến bún món nước miến miến ngan trộnmiến ngan đùi trộnbún ngan trộnbún nganbún ngan đùi mọcbún ngan đùi trộnmiến nganbún ngan đùimiến ngan đùi mọcmiến ngan đùi,30000,50000,40000.0,bún món nước miến miến ngan trộnmiến ngan đùi trộnbún ngan trộnbún nganbún ngan đùi mọcbún ngan đùi trộnmiến nganbún ngan đùimiến ngan đùi mọcmiến ngan đùi
Bún Ốc Bà Thoa - Bún Ốc Gia Truyền - 19 Kim Mã Thượng,20000 - 50000,7.1,Quán ăn,"19 Kim Mã Thượng, Quận Ba Đình, Hà Nội",33,"Bún, Hải sản, Món nước, Nghêu - Sò - Ốc ", 06:30 - 14:00,0,0,0,bún hải sản món nước nghêu sò ốc bún hải sản món nước nghêu sò ốc bún ốc to bò giòbún ốc nhỏ giò bòbún ốc to ốc nhỏ bò giòbún ốc nhỏ bòbún ốc to bòbún bò giòbún ốc to giòbún ốc nhỏ giòbún bò bún ốc to ốc nhỏ giò,20000,50000,35000.0,bún hải sản món nước nghêu sò ốc bún ốc to bò giòbún ốc nhỏ giò bòbún ốc to ốc nhỏ bò giòbún ốc nhỏ bòbún ốc to bòbún bò giòbún ốc to giòbún ốc nhỏ giòbún bò bún ốc to ốc nhỏ giò
"Nem Lụi, Thịt Heo & Chân Gà - Hoàng Đạo Thúy",5000 - 90000,6.4,Quán ăn,"N5D Hoàng Đạo Thúy, P. Nhân Chính, Quận Thanh Xuân, Hà Nội",15,"Bánh tráng, Bánh - Kẹo, Gỏi, Ăn vặt - Ăn nhẹ, Nem", 10:00 - 14:00 | 17:00 - 21:00,1,0,1,bánh tráng bánh kẹo gỏi ăn vặt ăn nhẹ nem bánh tráng bánh kẹo gỏi ăn vặt ăn nhẹ nem set combo bánh tráng cuốn thịt heo nem lụibánh tráng cuốn bắp heo mắm nêm bánh tráng cuốn nem lụi đặc biệtnem nướng nha trang cuốnem nướng miền tây chấm sốt nha trangbánh tráng cuốn bắp heo cay ngọt nem nướng miền tây chấm cay ngọt đặc biệt trà quất tươinước ép dứa tươitrà hoa quả,5000,90000,47500.0,bánh tráng bánh kẹo gỏi ăn vặt ăn nhẹ nem set combo bánh tráng cuốn thịt heo nem lụibánh tráng cuốn bắp heo mắm nêm bánh tráng cuốn nem lụi đặc biệtnem nướng nha trang cuốNem nướng miền tây chấm sốt nha trangbánh tráng cuốn bắp heo cay ngọt nem nướng miền tây chấm cay ngọt đặc biệt trà quất tươinước ép dứa tươitrà hoa quả
Nem Lụi Huế - Ăn Là Like - Thụy Khuê,20000 - 60000,6.2,Quán ăn,"8 Ngõ 4 Thụy Khuê (Ngõ Xưởng Phim Tây Hồ), P. Thụy Khuê, Quận Tây Hồ, Hà Nội",109,"Gà rán, Bánh - Kẹo, Bánh bèo, Đặc sản vùng, Ăn vặt - Ăn nhẹ, Nem, Bánh tằm, Cá/bò viên, Fastfood - Thức ăn nhanh", 11:00 - 22:00,0,0,0,gà rán bánh kẹo bánh bèo đặc sản vùng ăn vặt ăn nhẹ nem bánh tằm cá bò viên fastfOd thức ăn nhanh gà rán bánh kẹo bánh bèo đặc sản vùng ăn vặt ăn nhẹ nem bánh tằm cá bò viên fastfod thức ăn nhanh nem lụi huếbánh mì mật ong nem chua ráncơm cháy kho quẹtnem lụi bọc sảbánh lọc huếthịt xiên nướngchân gà rút xương ngâm sả ớtkhoai lang kénphô mai que,20000,60000,40000.0,gà rán bánh kẹo bánh bèo đặc sản vùng ăn vặt ăn nhẹ nem bánh tằm cá bò viên fastfOd thức ăn nhanh nem lụi huếbánh mì mật ong nem chua ráncơm cháy kho quẹtnem lụi bọc sảbánh lọc huếthịt xiên nướngchân gà rút xương ngâm sả ớtkhoai lang kénphô mai que
Bún Ốc Thúy,30000 - 55000,6.2,Quán ăn,"11 Ngõ Chợ Đồng Xuân, P. Đồng Xuân, Quận Hoàn Kiếm, Hà Nội",20,"Bún, Hải sản, Món nước, Nghêu - Sò - Ốc ", 08:00 - 22:00,0,0,0,bún hải sản món nước nghêu sò ốc bún hải sản món nước nghêu sò ốc bún ốc,30000,55000,42500.0,bún hải sản món nước nghêu sò ốc bún ốc
Gà Rán KFC - Nguyễn Trường Tộ,50000 - 110000,7.0,Nhà hàng,"34 Hàng Bún (Ngã tư Nguyễn Trường Tộ - Hàng Bún), Quận Ba Đình, Hà Nội",14,"Thịt Gà, Gà rán, Hamburger, Ăn vặt - Ăn nhẹ, Thức uống, Nước ngọt, Fastfood - Thức ăn nhanh", 09:00 - 22:00,1,0,1,thịt gà gà rán hamburger ăn vặt ăn nhẹ thức uống nước ngọt fastfOd thức ăn nhanh thịt gà gà rán hamburger ăn vặt ăn nhẹ thức uống nước ngọt fastfod thức ăn nhanh combo kfc phát lộcombo kfc lộc phátgà rán miếng gà rán miếng gà rán miếng hot wings miếng gà quay miếng hot wings miếng cơm philê gà quayburger zinger,50000,110000,80000.0,thịt gà gà rán hamburger ăn vặt ăn nhẹ thức uống nước ngọt fastfOd thức ăn nhanh combo kfc phát lộCombo kfc lộc phátgà rán miếng gà rán miếng gà rán miếng hot wings miếng gà quay miếng hot wings miếng cơm philê gà quayburger zinger
Lotteria - Hàng Than,30000 - 77000,6.5,Nhà hàng,"Tầng 1, 23 Hàng Than, Quận Ba Đình, Hà Nội",26,"Thịt Gà, Gà rán, Hamburger, Ăn vặt - Ăn nhẹ, Cơm, Thức uống, Nước ngọt, Fastfood - Thức ăn nhanh", 07:30 - 22:30,1,0,1,thịt gà gà rán hamburger ăn vặt ăn nhẹ cơm thức uống nước ngọt fastfOd thức ăn nhanh thịt gà gà rán hamburger ăn vặt ăn nhẹ cơm thức uống nước ngọt fastfod thức ăn nhanh burger gà thượng hạngcơm gà nướngcombo burger gà thượng hạngà nướngvalue burger gà thượng hạngcombo sum vầy combo sum vầy combo sum vầy gà tuyết vàng phầngà tuyết vàng miếng,30000,77000,53500.0,thịt gà gà rán hamburger ăn vặt ăn nhẹ cơm thức uống nước ngọt fastfOd thức ăn nhanh burger gà thượng hạngcơm gà nướngcombo burger gà thượng hạnGà nướngvalue burger gà thượng hạngcombo sum vầy combo sum vầy combo sum vầy gà tuyết vàng phầngà tuyết vàng miếng
Mạnh Thắng - Phở Bò - Hồ Tùng Mậu,30000 - 35000,2.2,Quán ăn,"52 Hồ Tùng Mậu, P. Mai Dịch, Quận Cầu Giấy, Hà Nội",1,"Phở, Bún, Thịt Bò, Món nước, Cơm", 04:00 - 23:00,0,0,0,phở bún thịt bò món nước cơm phở bún thịt bò món nước cơm cơm rang dưa bòcơm rang cải bòphở xàobún chảphở chínphở tái chínphở tái gầuphở táimì xàophở đặc biệt,30000,35000,32500.0,phở bún thịt bò món nước cơm cơm rang dưa bòcơm rang cải bòphở xàobún chảphở chínphở tái chínphở tái gầuphở táimì xàophở đặc biệt
Gà Tần Ngon Ngon - Shop Online,50000 - 100000,6.2,Shop Online,"354 Tây Sơn, P. Thịnh Quang, Quận Đống Đa, Hà Nội",5,"Thịt Gà, Gà ác/gà hầm, Cơm", 06:00 - 23:30,0,0,0,thịt gà gà ác gà hầm cơm thịt gà gà ác gà hầm cơm gà tiềm ác gà đen nước ngọtnước khoáng,50000,100000,75000.0,thịt gà gà ác gà hầm cơm gà tiềm ác gà đen nước ngọtnước khoáng
Ngọc Thạch Quán - Sữa Chua & Caramen - Hồng Tiến,15000 - 50000,6.1,Ăn vặt/vỉa hè,"123 Hồng Tiến, P. Bồ Đề, Quận Long Biên, Hà Nội",7,"Chè, Ăn vặt - Ăn nhẹ", 09:00 - 18:00,0,0,0,chè ăn vặt ăn nhẹ chè ăn vặt ăn nhẹ rau câu lá nếp caramenbánh caramen truyền thốngsữa chua mít trân châurau câu sữa dừa caramenmatcha trộn caramen matcharau câu chanh leo caramenchè sầu riêng đặc biệtsữa chua nếp mít caramen chè tàu hũ caramenrau câu cafe caramen,15000,50000,32500.0,chè ăn vặt ăn nhẹ rau câu lá nếp caramenbánh caramen truyền thốngsữa chua mít trân châurau câu sữa dừa caramenmatcha trộn caramen matcharau câu chanh leo caramenchè sầu riêng đặc biệtsữa chua nếp mít caramen chè tàu hũ caramenrau câu cafe caramen
Bún Ốc Sườn Cô Sáu,30000 - 35000,6.3,Quán ăn,"354 Bạch Mai, P. Bạch Mai, Quận Hai Bà Trưng, Hà Nội",33,"Bún, Món nước, Ăn vặt - Ăn nhẹ, Nem", 06:30 - 14:00 | 16:45 - 21:00,0,0,0,bún món nước ăn vặt ăn nhẹ nem bún món nước ăn vặt ăn nhẹ nem quẩy cáigiò taibún ốc nhỏ sườn bòbún ốc nhỏ bòbún ốc nhỏbún bòbún ốc to sườnbún ốc to bòbún ốc lẫn bòbún ốc lẫn sườn,30000,35000,32500.0,bún món nước ăn vặt ăn nhẹ nem quẩy cáigiò taibún ốc nhỏ sườn bòbún ốc nhỏ bòbún ốc nhỏbún bòbún ốc to sườnbún ốc to bòbún ốc lẫn bòbún ốc lẫn sườn
Xôi Bà Cụ - Quán Thánh,25000 - 25000,8.7,Ăn vặt/vỉa hè,"146 Quán Thánh, Quận Ba Đình, Hà Nội",3,"Bánh mì, Xôi, Bánh - Kẹo, Ăn vặt - Ăn nhẹ", 06:00 - 09:00,0,0,0,bánh mì xôi bánh kẹo ăn vặt ăn nhẹ nan,25000,25000,25000.0,nan
Bánh Bao - Quán Thánh,10000 - 50000,6.6,Quán ăn,"146 Quán Thánh, Quận Ba Đình, Hà Nội",31,Ăn vặt - Ăn nhẹ, 06:00 - 11:00,0,0,0,ăn vặt ăn nhẹ ăn vặt ăn nhẹ bánh bao nhân thịtbánh bao không nhânsữa đậu nành cốc sữa đậu nành lít sữa đậu nành lít,10000,50000,30000.0,ăn vặt ăn nhẹ bánh bao nhân thịtbánh bao không nhânsữa đậu nành cốc sữa đậu nành lít sữa đậu nành lít
Cine Cafe - Cafe Phim Chùa Láng,50000 - 100000,7.7,Café/Dessert,"61 Ngõ 82 Chùa Láng, P. Láng Thượng, Quận Đống Đa, Hà Nội",9,"Café - Kem, Sinh tố - Nước ép", 08:00 - 23:00,1,0,1,café kem sinh tố nước ép café kem sinh tố nước ép nem chua ránkhoai tây lắc phomaiheo khô cháy tỏikhoai tây chiêncombo ship đặc biệtpiza thịt dứapiza hải sảnpiza xúc xíchpiza bò bămpiza giăm bông,50000,100000,75000.0,café kem sinh tố nước ép nem chua ránkhoai tây lắc phomaiheo khô cháy tỏikhoai tây chiêncombo ship đặc biệtpiZa thịt dứapiZa hải sảnpiZa xúc xíchpiZa bò bămpiZa giăm bông
Trà Bí Đao Hạt Chia - Thụy Khuê,20000 - 20000,9.8,Café/Dessert,"Đường nội khu, tòa nhà Sun Grand City 69 Thụy Khuê, P. Thụy Khuê, Quận Tây Hồ, Hà Nội",5,"Trà chanh, Sinh tố - Nước ép, Thức uống", 09:00 - 22:00,0,0,0,trà chanh sinh tố nước ép thức uống trà chanh sinh tố nước ép thức uống trà bí đao hạt chia size m trà bí đao nha đamtrà bí đao hạt chia ful topingtrà bí đao hạt chia thạch sương sáotrà bí đao trân châutrà dưa lưới fultopingtrà dưa lưới trân châutrà dưa lưới thạch sương sáo,20000,20000,20000.0,trà chanh sinh tố nước ép thức uống trà bí đao hạt chia size m trà bí đao nha đamtrà bí đao hạt chia fuL toPingtrà bí đao hạt chia thạch sương sáotrà bí đao trân châutrà dưa lưới fuLtoPingtrà dưa lưới trân châutrà dưa lưới thạch sương sáo
Kimbap - Little Korean Homemade,90000 - 150000,7.7,Quán ăn,"22 Xuân Diệu, P. Quảng An, Quận Tây Hồ, Hà Nội",18,"Bún, Mì, Miến, Ăn vặt - Ăn nhẹ, Cơm", 10:00 - 22:00,1,0,1,bún mì miến ăn vặt ăn nhẹ cơm bún mì miến ăn vặt ăn nhẹ cơm bánh gạo xào cay teokbokibánh gạo xào cay cùng mì teokboki with nodelsteokboki with chese teokboki phô maiteokboki with nodles and chesecanh kim chi thịt ba chỉthịt chiên giòn donkatsu porkcanh kimchi ba chỉ bòthịt ba chỉ xào caybul gogi set thịt bò xàothịt gà xào cay spicy chicken set,90000,150000,120000.0,bún mì miến ăn vặt ăn nhẹ cơm bánh gạo xào cay teokboKibánh gạo xào cay cùng mì teokboKi with nOdelsteokboKi with chEse teokboKi phô maiteokBoKi with nOdles and chEsecanh kim chi thịt ba chỉthịt chiên giòn donkatsu porkcanh kimchi ba chỉ bòthịt ba chỉ xào caybul gogi set thịt bò xàothịt gà xào cay spicy chicken set
Cơm Tay Cầm - Tràng Tiền,60000 - 100000,6.7,Quán ăn,"4 Ngõ Tràng Tiền, P. Tràng Tiền, Quận Hoàn Kiếm, Hà Nội",2,"Cơm Tay Cầm, Bún, Lẩu, Miến, Cơm", 08:00 - 23:59,0,0,0,cơm tay cầm bún lẩu miến cơm cơm tay cầm bún lẩu miến cơm cơm tay cầm gàcơm tay cầm bòcơm tay cầm xá xíucơm tay cầm lợn xông khóibún bò huế đặc biệtbún bò giò heocơm gà xối mỡcơm gà hải namcơm gà rang gừngcơm gà cury,60000,100000,80000.0,cơm tay cầm bún lẩu miến cơm cơm tay cầm gàcơm tay cầm bòcơm tay cầm xá xíucơm tay cầm lợn xông khóibún bò huế đặc biệtbún bò giò heocơm gà xối mỡcơm gà hải namcơm gà rang gừngcơm gà cuRy
Nhà Hàng Phương Nam - Món Ngon Miền Nam - Chùa Láng,100000 - 250000,6.8,Nhà hàng,"2 Ngõ 69 Chùa Láng, P. Láng Thượng, Quận Đống Đa, Hà Nội",31,"Thịt Gà, Thịt Bò, Xôi, Hải sản, Lẩu, Cá, Đặc sản vùng, Ăn vặt - Ăn nhẹ, Cơm, Thức uống", 08:00 - 22:00,1,0,1,thịt gà thịt bò xôi hải sản lẩu cá đặc sản vùng ăn vặt ăn nhẹ cơm thức uống thịt gà thịt bò xôi hải sản lẩu cá đặc sản vùng ăn vặt ăn nhẹ cơm thức uống bánh tráng cuốn ba chỉ quay nowlẩu cá kèo lá giang nowcá kèo thêm con nước lẩu lá giang lítrau nhúng lẩumắm kho quẹtmắm nêm ml,100000,250000,175000.0,thịt gà thịt bò xôi hải sản lẩu cá đặc sản vùng ăn vặt ăn nhẹ cơm thức uống bánh tráng cuốn ba chỉ quay nowlẩu cá kèo lá giang nowcá kèo thêm con nước lẩu lá giang lítrau nhúng lẩumắm kho quẹtmắm nêm ml
Gà Tươi 142 - Gà Tươi - 142 Khuất Duy Tiến,70000 - 200000,6.8,Quán ăn,"142A Khuất Duy Tiến, P. Nhân Chính, Quận Thanh Xuân, Hà Nội",1,Thịt Gà, 10:00 - 14:00 | 17:00 - 23:00,0,0,1,thịt gà thịt gà gà quaygà hấpgà chiên mắmgà rang muốigà không lối thoátmiến xào lòng mề gàchân gà chiên mắmsụn gà rang muốicánh gà chiên mắmđùi gà chiên giòn,70000,200000,135000.0,thịt gà gà quaygà hấpgà chiên mắmgà rang muốigà không lối thoátmiến xào lòng mề gàchân gà chiên mắmsụn gà rang muốicánh gà chiên mắmđùi gà chiên giòn
The Urban Kitchen - Healthy Food - Shop Online,69000 - 80000,7.0,Shop Online,"Tầng 2, Khu Foodcourt, Complex 01, 29 Ngách 31 Ngõ 167 Tây Sơn, Quận Đống Đa, Hà Nội",6,"Bánh mì, Thịt Bò, Bánh - Kẹo, Salad, Cơm", 10:00 - 14:00 | 18:00 - 20:00,0,0,0,bánh mì thịt bò bánh kẹo salad cơm bánh mì thịt bò bánh kẹo salad cơm cuốn tổng hợpmiến trộn hàn quốc healthygà bọc xả salad bò táisalad tôm xoàisalad mexicosalad gà tofusalad vegan nấmsalad ceasar gàsalad tuna địa trung hải,69000,80000,74500.0,bánh mì thịt bò bánh kẹo salad cơm cuốn tổng hợpmiến trộn hàn quốc healthygà bọc xả salad bò táisalad tôm xoàisalad mexicosalad gà tofusalad vegan nấmsalad ceasar gàsalad tuna địa trung hải
Linh - Mì Vằn Thắn & Bún Thang,30000 - 35000,7.6,Quán ăn,"101 C3 TT Nam Đồng, Đặng Văn Ngữ, Quận Đống Đa, Hà Nội",23,"Món nước, Hoành Thánh - Vằn Thắn", 06:00 - 14:00 | 17:00 - 22:00,0,0,0,món nước hoành thánh vằn thắn món nước hoành thánh vằn thắn mỳ vằn thắnbún thangsủi cảo,30000,35000,32500.0,món nước hoành thánh vằn thắn mỳ vằn thắnbún thangsủi cảo
Krabi Thai Cuisine - Lẩu Thái & Các Món Thái,50000 - 200000,5.6,Quán ăn,"265 Xã Đàn, P. Nam Đồng, Quận Đống Đa, Hà Nội",9,"Cơm Chiên, Xôi, Bún, Lẩu, Miến, Cơm", 09:00 - 22:00,1,0,1,cơm chiên xôi bún lẩu miến cơm cơm chiên xôi bún lẩu miến cơm lẩu thái nhỏlẩu thái tolẩu thái đặc biệtlẩu bò đặc biệt cốt lẩu thai chua caycốt lẩu thái chua thanhváng đậuviên đậu hũ phô maiset rau thập cẩmba chỉ bò mỹ,50000,200000,125000.0,cơm chiên xôi bún lẩu miến cơm lẩu thái nhỏlẩu thái tolẩu thái đặc biệtlẩu bò đặc biệt cốt lẩu thai chua caycốt lẩu thái chua thanhváng đậuviên đậu hũ phô maiset rau thập cẩmba chỉ bò mỹ
Bánh Cuốn Nóng - Ngõ 63 Thái Thịnh,15000 - 25000,8.3,Quán ăn,"Ngõ 63 Thái Thịnh, Quận Đống Đa, Hà Nội",4,"Bánh ướt, Bánh - Kẹo, Bánh cuốn, Ăn vặt - Ăn nhẹ", 06:00 - 12:00 | 16:00 - 22:00,0,0,0,bánh ướt bánh kẹo bánh cuốn ăn vặt ăn nhẹ bánh ướt bánh kẹo bánh cuốn ăn vặt ăn nhẹ bánh cuốn lớn trứng gàbánh cuốn nhỏ hành khô lạng,15000,25000,20000.0,bánh ướt bánh kẹo bánh cuốn ăn vặt ăn nhẹ bánh cuốn lớn trứng gàbánh cuốn nhỏ hành khô lạng
Lotteria - Kim Mã,30000 - 77000,7.1,Nhà hàng,"1 Núi Trúc, P. Kim Mã, Quận Ba Đình, Hà Nội",80,"Thịt Gà, Gà rán, Hamburger, Ăn vặt - Ăn nhẹ, Thức uống, Nước ngọt, Fastfood - Thức ăn nhanh", 07:30 - 22:30,1,0,1,thịt gà gà rán hamburger ăn vặt ăn nhẹ thức uống nước ngọt fastfOd thức ăn nhanh thịt gà gà rán hamburger ăn vặt ăn nhẹ thức uống nước ngọt fastfod thức ăn nhanh combo sum vầy combo sum vầy combo sum vầy burger gà thượng hạngcombo burger gà thượng hạngvalue burger gà thượng hạngà tuyết vàng phầngà tuyết vàng miếngà tuyết vàng miếngburger cá pepsi m,30000,77000,53500.0,thịt gà gà rán hamburger ăn vặt ăn nhẹ thức uống nước ngọt fastfOd thức ăn nhanh combo sum vầy combo sum vầy combo sum vầy burger gà thượng hạngcombo burger gà thượng hạngvalue burger gà thượng hạnGà tuyết vàng phầngà tuyết vàng miếnGà tuyết vàng miếngburger cá pepsi m
Cô Liên - Ăn Vặt Việt Hàn,20000 - 40000,7.1,Ăn vặt/vỉa hè,"Đối Diện 120C1 Nghĩa Tân, Quận Cầu Giấy, Hà Nội",50,"Ăn vặt - Ăn nhẹ, Cơm, Fastfood - Thức ăn nhanh", 07:00 - 22:00,0,0,0,ăn vặt ăn nhẹ cơm fastfOd thức ăn nhanh ăn vặt ăn nhẹ cơm fastfod thức ăn nhanh cơm trộn korea bò sốt ngọtcơm trộn bò korea sốt caykim bap chiên cơm gà viên sốt bq kim bap thườngcơm gà viên sốt ngọtcơm gà viên sốt caycơm xá xíu bqcơm gà rút xương chiên giòn sốt ngọt cơm gà rút xương chiên giòn sốt bq,20000,40000,30000.0,ăn vặt ăn nhẹ cơm fastfOd thức ăn nhanh cơm trộn korea bò sốt ngọtcơm trộn bò korea sốt caykim bap chiên cơm gà viên sốt Bq kim bap thườngcơm gà viên sốt ngọtcơm gà viên sốt caycơm xá xíu Bqcơm gà rút xương chiên giòn sốt ngọt cơm gà rút xương chiên giòn sốt Bq
King BBQ - Vua Nướng Hàn Quốc - The Garden,200000 - 300000,6.3,Nhà hàng,"Tầng G, The Garden, Mễ Trì, Quận Nam Từ Liêm, Hà Nội",12,"Thịt Gà, Thịt Bò, Thịt Heo, Hải sản", 09:00 - 22:00,1,0,1,thịt gà thịt bò thịt heo hải sản thịt gà thịt bò thịt heo hải sản combo nướng gwangjucombo nướng busancombo nướng lẩu seoulcombo nướng gwangjucombo nướng gwangjucombo nướng busancombo nướng lẩu seoulcombo nướng gwangjucombo nướng gwangju,200000,300000,250000.0,thịt gà thịt bò thịt heo hải sản combo nướng gwangjucombo nướng busancombo nướng lẩu seoulcombo nướng gwangjucombo nướng gwangjucombo nướng busancombo nướng lẩu seoulcombo nướng gwangjucombo nướng gwangju
The 1989 - Trà Sữa Muối Biển - Tân Mai,30000 - 40000,9.4,Café/Dessert,"184 Tân Mai, P. Tân Mai, Quận Hoàng Mai, Hà Nội",2,"Trà, Café - Kem, Thức uống, Trà sữa", 09:00 - 22:00,1,0,1,trà café kem thức uống trà sữa trà café kem thức uống trà sữa trà ổi hồngtrà sữa caramel muối biểndâu caramelcaramel muối biểnhồng trà sữatrà nhài sữatrà ô long sữatrà sữa socolatrà ô long đàohồng trà,30000,40000,35000.0,trà café kem thức uống trà sữa trà ổi hồngtrà sữa caramel muối biểndâu caramelcaramel muối biểnhồng trà sữatrà nhài sữatrà ô long sữatrà sữa socolatrà ô long đàohồng trà
Chè Xoan - Chùa Láng,20000 - 35000,7.0,Ăn vặt/vỉa hè,"111 Chùa Láng, P. Láng Thượng, Quận Đống Đa, Hà Nội",33,"Chè, Ăn vặt - Ăn nhẹ", 09:00 - 23:00,0,0,0,chè ăn vặt ăn nhẹ chè ăn vặt ăn nhẹ chè thập cẩm caramen thập cẩmchè xoan kem dừasữa chua mítchè sầu riêngchè tháichè bưởichè hạt đát quán gọi là chè thốt nốt chè bơsữa chua caramen,20000,35000,27500.0,chè ăn vặt ăn nhẹ chè thập cẩm caramen thập cẩmchè xoan kem dừasữa chua mítchè sầu riêngchè tháichè bưởichè hạt đát quán gọi là chè thốt nốt chè bơsữa chua caramen
Yihetang - Trà Sữa Nướng - Chùa Láng,25000 - 45000,6.8,Café/Dessert,"8C Ngõ 121 Chùa Láng, P. Láng Thượng, Quận Đống Đa, Hà Nội",4,"Thức uống, Trà sữa", 08:00 - 23:00,1,0,1,thức uống trà sữa thức uống trà sữa socola kem trứng dừa nướng nóng yihetangmatcha kem trứng dừa nướng nóng yihetangbách hoa trà long nhãn nóng yihetanghồng trà sữa nướngtrà sữa trân châu kem dừa nướng yihetangsữa tươi trân châu đường đen yihetangtrà sữa trân châu đường đen yihetangtrà nhài sữa nướngtrà ô long sữa nướngmatcha trân châu đường đen yihetang,25000,45000,35000.0,thức uống trà sữa socola kem trứng dừa nướng nóng yihetangmatcha kem trứng dừa nướng nóng yihetangbách hoa trà long nhãn nóng yihetanghồng trà sữa nướngtrà sữa trân châu kem dừa nướng yihetangsữa tươi trân châu đường đen yihetangtrà sữa trân châu đường đen yihetangtrà nhài sữa nướngtrà ô long sữa nướngmatcha trân châu đường đen yihetang
Don Chicken - Chicken & Pub - Royal City,50000 - 500000,7.2,Nhà hàng,"B2 R3 - 10 Royal City, 72A Nguyễn Trãi, Quận Thanh Xuân, Hà Nội",69,"Gà rán, Thịt Bò, Thịt Heo, Pizza & Pasta, Salad, Cơm, Xúc xích, Fastfood - Thức ăn nhanh", 10:00 - 22:00,1,0,1,gà rán thịt bò thịt heo piZa pasta salad cơm xúc xích fastfOd thức ăn nhanh gà rán thịt bò thịt heo piza pasta salad cơm xúc xích fastfod thức ăn nhanh piza bò bolgogipiza hải sản baconpiza gà nấmgà rán sốt gia vị ngọtgà rán sốt cay nửa congà phomai tuyếtgà rán sốt nước tươngđùi gà rángà ráncánh gà rán,50000,500000,275000.0,gà rán thịt bò thịt heo piZa pasta salad cơm xúc xích fastfOd thức ăn nhanh piZa bò bolgogipiZa hải sản baconpiZa gà nấmgà rán sốt gia vị ngọtgà rán sốt cay nửa congà phomai tuyếtgà rán sốt nước tươngđùi gà rángà ráncánh gà rán
Ốc Cô Toàn - Ốc & Món Vặt,10000 - 20000,9.2,Ăn vặt/vỉa hè,"118-128 Nhuệ Giang, Nguyễn Trãi, Quận Hà Đông, Hà Nội",1,"Hải sản, Nghêu - Sò - Ốc ", 15:00 - 21:00,0,0,0,hải sản nghêu sò ốc nan,10000,20000,15000.0,nan
Xôi Cô Kim - Lò Đúc,15000 - 30000,6.9,Ăn vặt/vỉa hè,"Đầu Ngõ 25 Lò Đúc, P. Phạm Đình Hổ, Quận Hai Bà Trưng, Hà Nội",37,"Xôi, Ăn vặt - Ăn nhẹ, Cơm", 17:00 - 02:00,0,0,0,xôi ăn vặt ăn nhẹ cơm xôi ăn vặt ăn nhẹ cơm xôi trứng thịt patexôi trứng chả patexôi thịt chảxôi thịt trứng,15000,30000,22500.0,xôi ăn vặt ăn nhẹ cơm xôi trứng thịt patexôi trứng chả patexôi thịt chảxôi thịt trứng
Highlands Coffee - Vincom Bà Triệu,20000 - 40000,8.0,Café/Dessert,"Tầng 5, TTTM Vincom Bà Triệu, 191 Bà Triệu, P. Lê Đại Hành, Quận Hai Bà Trưng, Hà Nội",7,"Trà, Café - Kem, Sinh tố - Nước ép, Thức uống", 10:00 - 22:00,1,0,1,trà café kem sinh tố nước ép thức uống trà café kem sinh tố nước ép thức uống bánh mì que patebánh mì que gà phô maitrà sen vàng củ năng trà thạch đàotrà sen vàng sen trà thanh đàotrà thạch vảitrà xanh đậu đỏphin sữa đá cofebạc xỉu,20000,40000,30000.0,trà café kem sinh tố nước ép thức uống bánh mì que patebánh mì que gà phô maitrà sen vàng củ năng trà thạch đàotrà sen vàng sen trà thanh đàotrà thạch vảitrà xanh đậu đỏphin sữa đá coFEbạc xỉu
Chè Bát Phố Cổ - Vĩnh Tuy,15000 - 50000,8.8,Ăn vặt/vỉa hè,"Ki Ốt 2 Ngõ 124 Vĩnh Tuy (Đối Diện 38 Ngõ 124 Vĩnh Tuy), P. Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội",6,"Chè, Ăn vặt - Ăn nhẹ", 12:00 - 22:30,0,0,0,chè ăn vặt ăn nhẹ chè ăn vặt ăn nhẹ combo sữa chua mít caramencombo sữa chua mít nếp cẩmcombo sữa chua thạch nha đam trân châusữa chua thạch trà xanh trân châutrà đàocacao trân châume đátrà chanhviệt quất đá saymatcha đá say,15000,50000,32500.0,chè ăn vặt ăn nhẹ combo sữa chua mít caramencombo sữa chua mít nếp cẩmcombo sữa chua thạch nha đam trân châusữa chua thạch trà xanh trân châutrà đàocacao trân châume đátrà chanhviệt quất đá saymatcha đá say
