name,price,avgpoint,category,location,num_reviews,dish_categories,time_open,dieu_hoa,bong_da,wifi,cuisines 
Lệ Rơi - Ốc & Các Món Ăn Vặt,25.000đ - 30.000đ,2.7                        ,Ăn vặt/vỉa hè,"172 Đại Từ, P. Đại Kim, Quận Hoàng Mai, Hà Nội",6,"Hải sản, Bào Ngư, Nghêu - Sò - Ốc , Ăn vặt - Ăn nhẹ, Nem", 09:00 - 22:00,0,0,0,"Ốc Nhỏ Luộc-30,000|Ốc Mít Luộc-80,000|Ngao Hấp-40,000|Phô Mai Que-70,000|Caramen-5,000|Khoai Tây Chiên-30,000|Khoai Lang Chiên-30,000|Sữa Đậu Nành-10,000|Khoai Tây Lắc-30,000|Khoai Lang Kén-30,000"
50 Dessert - Dừa Dầm & Kem Bơ,10.000đ - 30.000đ,5.8                        ,Café/Dessert,"50 Trần Xuân Soạn, Quận Hai Bà Trưng, Hà Nội",34,"Chè, Café - Kem, Ăn vặt - Ăn nhẹ, Trái cây", 06:30 - 22:00,0,0,0,"Kem Bơ-35,000|Dừa Dầm-30,000|Chè Dừa Non Lá Nếp-30,000|Caramen 3 Q-35,000|Chè Khúc Bạch-30,000|Chè Bưởi Cốt Dừa-30,000|Kem Xoài-35,000|Sữa Chua Thạch Lá Nếp-30,000|Sữa Chua Lắc-30,000|Sữa Chua Mít-30,000"
MIN - Lẩu Sạch & Chân Cánh Gà,50.000đ - 200.000đ,7.8                        ,Quán ăn,"15 Chùa Quỳnh, Quận Hai Bà Trưng, Hà Nội",24,"Thịt Gà, Tôm, Bún, Thịt Bò, Hải sản, Mì, Lẩu, Chân cánh gà nướng, Mực, Salad", 10:00 - 14:00 | 16:30 - 22:00,1,0,1,"Chân gà chiên mắm-39,000|Cánh gà chiên mắm-48,000|Chân gà rang muối-39,000|Chân gà sả ớt-39,000|Chân gà sốt me-39,000|Cánh gà rang muối-48,000|Chân gà sốt cay-39,000|Cánh gà sốt me-48,000|Khoai tây chiên-45,000|Cánh gà lắc phô mai-48,000"
Phở Bò - 48 Hàng Đồng,20.000đ - 55.000đ,7.9                        ,Quán ăn,"48 Hàng Đồng, Quận Hoàn Kiếm, Hà Nội",4,Phở, 17:00 - 23:00 | 06:00 - 13:00,0,0,0,"Phở Chín-50,000|Phở Chín Gầu-65,000|Phở Tái Nạm-65,000|Phở Bắp-75,000|Phở Tái Gầu-75,000|Phở Tái Chín-65,000|Phở Tái Giòn-75,000|Phở Tái-55,000"
OiA Coffee,20.000đ - 100.000đ,6.6                        ,Café/Dessert,"73 Trần Quốc Toản, P. Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội",3,"Café - Kem, Thức uống", 08:00 - 22:00,0,0,0,"Mây-55,000|Caramel macchiato-65,000|Coldbrew citrus-65,000|Latte -60,000|White cold brew-55,000|Cold brew-50,000|Americano-50,000|Cappuccino-60,000"
Cháo 37 - Cháo Tim Gan & Cháo Gà,20.000đ - 30.000đ,4.9                        ,Quán ăn,"37 Võ Chí Công, P. Xuân La, Quận Tây Hồ, Hà Nội",4,"Cháo, Ăn vặt - Ăn nhẹ", 09:00 - 21:00,0,0,0,
Lẩu Nấm Ashima - Huỳnh Thúc Kháng,100.000đ - 330.000đ,9.2                        ,Nhà hàng,"17 Huỳnh Thúc Kháng, Quận Đống Đa, Hà Nội",16,Lẩu, 11:00 - 22:00,1,0,1,
Stirling Steaks Vietnam,100.000đ - 300.000đ,7.9                        ,Nhà hàng,"15B Ngô Văn Sở, P. Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội",17,Thịt Bò, 10:00 - 21:00,0,0,1,"Ribeye 200gr-250,000|Comboo 899-899,000|Combo 599k-599,000|Combo 300k-300,000|Pumpkin Soup-20,000|Mushroom Soup-22,000|Green Salad-40,000|Stirling Burger-80,000|Beef Spaghetti-80,000"
Cháo Lòng Nguyễn Quyền,30.000đ - 150.000đ,7.3                        ,Quán ăn,"73 Trần Nhân Tông, P. Nguyễn Du, Quận Hai Bà Trưng, Hà Nội",3,"Thịt Heo, Cháo, Lẩu, Ăn vặt - Ăn nhẹ", 07:00 - 15:00,0,0,0,"Cháo Thập Cẩm Nhỏ-40,000|Cháo Thập Cẩm To-50,000|Lòng Xào Dưa Lớn-150,000|Lòng Đĩa 150-150,000|Tiết Luộc-40,000|Lòng Đĩa 200-200,000|Lòng Đĩa 250-250,000|Lòng Đĩa 300-300,000|Giả Cầy To-150,000|Lòng Đĩa 500-500,000"
Sườn Mười - Sườn Nướng BBQ,79.000đ - 319.000đ,7.5                        ,Quán ăn,"264 Hoàng Văn Thái, P. Khương Trung, Quận Thanh Xuân, Hà Nội",137,"Hamburger, Thịt Heo, Sườn nướng, Lẩu, Fastfood - Thức ăn nhanh", 10:00 - 22:00,0,0,1,"Sườn Nướng Tại Gia 1kg-489,000|Combo Ribs Plus-649,000|Combo Save More-659,000|Combo Friend Club-799,000|Combo 3B-477,000|Combo 3C-507,000|Combo 3D-538,000|Combo 2B-387,000|Combo 2C-407,000|Combo 2D-438,000"
Lẩu Phan - Buffet Bò Úc - Láng Hạ,100.000đ - 150.000đ,7.3                        ,Quán ăn,"16 Ngõ 59 Láng Hạ, Quận Đống Đa, Hà Nội",12,Lẩu, 10:00 - 22:00,1,0,1,
Góc Đà Lạt - Lẩu Gà Lá É - Mễ Trì Hạ,200.000đ - 300.000đ,9.2                        ,Quán ăn,"Chung Cư CT3-1 Mễ Trì Hạ, P. Mễ Trì, Quận Nam Từ Liêm, Hà Nội",12,Lẩu, 10:00 - 22:00,0,0,1,"Lẩu Gà Lá É (vừa)-299,000|Lẩu Gà Lá É (lớn)-449,000|Lẩu bò ba toa nồi vừa-299,000|Lẩu Ếch (vừa)-249,000|Lẩu bò  ba toa nồi lớn-449,000|Lẩu Ếch (lớn)-349,000|Lá É Thêm-44,000|Váng đậu-19,000|Nấm thập cẩm-34,000|Măng thêm-19,000"
Bánh Rán & Bánh Cay - Nguyễn Viết Xuân,10.000đ - 15.000đ,6.7                        ,Ăn vặt/vỉa hè,"2 Nguyễn Viết Xuân, Quận Hà Đông, Hà Nội",3,Ăn vặt - Ăn nhẹ, 09:00 - 20:00,0,0,0,
"Bánh Ngon Phố Cổ - Bánh Chuối, Bánh Gối & Há Cảo",10.000đ - 30.000đ,3.0                        ,Ăn vặt/vỉa hè,"3 Cửa Đông, P. Hàng Bồ, Quận Hoàn Kiếm, Hà Nội",1,Ăn vặt - Ăn nhẹ, 13:00 - 20:00,0,0,0,"Bánh Chuối-10,000|Bánh Khoai-10,000|Bánh Gối-10,000|Bánh Ngô-10,000|Há Cảo-30,000|Bánh Nem Rán-10,000|Khoai Tây Lắc Phô Mai-25,000"
Bánh Ngon Phố Cổ - Bánh Gối & Bánh Rán,10.000đ - 20.000đ,6.9                        ,Ăn vặt/vỉa hè,"3 Cửa Đông, Quận Hoàn Kiếm, Hà Nội",2,Ăn vặt - Ăn nhẹ, 14:00 - 20:00,0,0,0,
Bánh Rán - Trương Định,5.000đ - 25.000đ,5.9                        ,Ăn vặt/vỉa hè,"398 Trương Định, P. Tương Mai, Quận Hoàng Mai, Hà Nội",5,"Bánh - Kẹo, Ăn vặt - Ăn nhẹ, Nem, Bánh tằm", 13:00 - 19:00,0,0,0,"Coca Cola-10,000|C2 Chanh-10,000|Bò Húc-15,000|Bánh Rán Mặn-8,000|Nem Chua Rán-6,000|Bánh Rán Ngọt-4,000|Bánh Rán Mật(Mua 10 Tặng 1)-2,000|Bánh Gối-10,000|Bánh Rán Đường(Mua 10 Tặng 1)-2,000|Phô Mai Que-6,000"
Bánh Gối Lê Đại Hành,20.000đ - 55.000đ,7.0                        ,Quán ăn,"25 Lê Đại Hành, Quận Hai Bà Trưng, Hà Nội",64,Ăn vặt - Ăn nhẹ, ,0,0,0,"Bánh Tôm-15,000|Bánh Gối-15,000|Nem chua rán (10 cái)-60,000|Khoai lang chiên tẩm bột-12,000|Bánh Há cảo (10 cái)-60,000|Trứng cút lộn-45,000|Trứng cút lộn xào me-55,000|Ốc luộc nhỏ-40,000|Ốc luộc lẫn-90,000|Ốc luộc to-100,000"
Chị Tuyết - Nem Rán & Bánh Gối,5.000đ - 10.000đ,8.0                        ,Ăn vặt/vỉa hè,"TT. C9 Kim Liên (Ngõ 150 Lương Định Của), Quận Đống Đa, Hà Nội",1,"Bánh - Kẹo, Ăn vặt - Ăn nhẹ", 14:00 - 19:30,0,0,0,
Bánh Gà Hồng Mai - Gà Rán & Khoai Lắc,10.000đ - 45.000đ,10.0                        ,Quán ăn,"171 Triều Khúc,  X. Tân Triều, Huyện Thanh Trì, Hà Nội",1,"Bún, Mì, Cơm", 08:00 - 21:00,0,0,0,"Bánh gà đặc biệt  5 cái +coca-45,000|Nem chua đặc biệt 5 cái +fanta-40,000|Nem chua đặc biệt 5 cái + Coca-40,000|Cánh  gà KFC  To + Sprite-40,000|Bánh gà đặc biệt - 5 cái-35,000|Nem chua đặc biệt - 5 cái-32,000|Gà viên lắc phô mai-25,000|Khoai lang hoặc khoai tây lắc-13,000|Bánh gà phomai đặc biệt -3 cái-26,000|Bánh rán ngọt - 4 cái-10,000"
"Thanh Hải - Chè Dừa Non, Tào Phớ & Bánh Rán Các Loại",5.000đ - 15.000đ,6.9                        ,Ăn vặt/vỉa hè,"Ngõ 35 Kim Mã Thượng, P. Cống Vị, Quận Ba Đình, Hà Nội",5,"Chè, Bánh - Kẹo, Ăn vặt - Ăn nhẹ", 09:00 - 21:00,0,0,0,"Bánh Rán Mặn-6,000|Chè Tào Phớ Hoa Nhài-10,000|Bánh Chuối-7,000|Chè Dừa Non-20,000|Chè Thập Cẩm-15,000|Bánh Khoai-7,000|Bánh Ngô-7,000|Bánh Rán Ngọt-5,000|Chè Ngô Cốm-10,000|Chè Đậu Xanh-10,000"
Donuts Ba - Bánh Rán & Bún Đậu Mẹt,4.000đ - 40.000đ,9.5                        ,Quán ăn,"162 Tân Mai, P. Tân Mai, Quận Hoàng Mai, Hà Nội",3,"Thịt Heo, Món nước, Ăn vặt - Ăn nhẹ", 08:00 - 18:00,0,0,1,"Bánh Rán Mật-4,000|Bánh Rán Đường-4,000|Bánh Rán Vừng-4,000|Combo 21 Bánh Rán Ngọt Donuts Ba-80,000|Combo 15 Bánh Mật,Vừng, Đường Donuts Ba-59,000|Combo 20 Bánh Ngọt Donuts Ba-78,000|Combo 20 Bánh Rán Vừng, Đường-78,000|Combo 50 Bánh rán Ngọt Donuts Ba-193,000|Chè Dừa Dẻo-20,000|Chè Bưởi Caramen-25,000"
Bánh Rán - Đinh Liệt,4.000đ - 10.000đ,7.5                        ,Ăn vặt/vỉa hè,"16 Đinh Liệt, P. Hàng Bạc, Quận Hoàn Kiếm, Hà Nội",6,"Bánh - Kẹo, Ăn vặt - Ăn nhẹ, Nem, Bánh tằm", 09:00 - 20:00,0,0,0,"Bánh Rán Mặn-6,000|Bánh Rán Ngọt-5,000"
"Ngọc Juices - Nước Ép, Sinh Tố & Đồ Ăn Vặt",20.000đ - 50.000đ,7.8                        ,Café/Dessert,"83C Nguyễn Khang, P. Yên Hòa, Quận Cầu Giấy, Hà Nội",3,Café - Kem, 08:00 - 23:00,1,0,1,"Nước Ép Cóc-25,000|Nước Ép Cam-30,000|Nước Ép Dưa Hấu-25,000|Nước ép Cam Dứa -35,000|Nước Ép Táo-25,000|Nước ép Cam Cà Rốt-35,000|Nước ép Táo Dứa-30,000|Nước ép Dứa Cà Rốt-30,000|Nước Ép Chanh Leo-25,000|Nước Ép Đu Đủ-25,000"
Bà Mỳ - Bánh Rán Các Loại,3.000đ - 10.000đ,8.5                        ,Ăn vặt/vỉa hè,"76 Ngõ Gốc Đề, Quận Hoàng Mai, Hà Nội",2,Ăn vặt - Ăn nhẹ, 07:00 - 21:00,0,0,0,
"Gia Hân - Quẩy Nóng, Quẩy Đùi Gà & Bánh Rán - Trung Kính",20.000đ - 60.000đ,9.4                        ,Ăn vặt/vỉa hè,"10A Hẻm 43/99/32 Trung Kính, P. Trung Hòa, Quận Cầu Giấy, Hà Nội",6,"Bánh - Kẹo, Ăn vặt - Ăn nhẹ, Fastfood - Thức ăn nhanh", 06:30 - 22:00,0,0,0,"8 Chiếc Quẩy Đùi Gà ( Mềm Không dai)-16,000|40 Chiếc Quẩy Đùi Gà ( Không Bị Dai)-80,000|8 Chiếc Bánh Đùi Gà Vị Trà Xanh-20,000|40 Chiếc Bánh Đùi Gà Vị Trà Xanh-100,000|Quẩy Mặn Khổng Lồ 2 Chiếc-14,000|Bánh Rán Mặn-8,000|Bánh Rán Vừng 3 Chiếc-12,000|Bánh Tiêu-6,000"
Cô Hoa - Bánh Rán & Bánh Gối,5.000đ - 9.998đ,8.7                        ,Ăn vặt/vỉa hè,"111B3 Vĩnh Hồ, Thịnh Quang, P. Thịnh Quang, Quận Đống Đa, Hà Nội",6,"Bánh - Kẹo, Ăn vặt - Ăn nhẹ, Bánh tằm", 13:30 - 19:00,0,0,0,"Phở Cuốn-6,000"
Bánh Rán Gia Truyền Bà Phúc,50.000đ - 50.000đ,8.2                        ,Shop Online,"15 Ngõ 292 Chợ Khâm Thiên, P. Phương Liên, Quận Đống Đa, Hà Nội",1,Bánh - Kẹo, 08:00 - 20:00,0,0,0,"Set 20 Bánh Mật-100,000|Set 20 Bánh Vừng-100,000|Set 20 Bánh Rán Mix-100,000|Set 20 Bánh Đường-100,000"
Bánh Rán Văn Thị - Thái Thịnh,2.000đ - 6.000đ,7.5                        ,Ăn vặt/vỉa hè,"196 Thái Thịnh, P. Láng Hạ, Quận Đống Đa, Hà Nội",5,"Bánh - Kẹo, Home-made, Ăn vặt - Ăn nhẹ, Bánh tằm", 14:00 - 18:00,0,0,0,"Bánh Rán Mặn-9,500|Bánh Rán Ngọt-4,000|Bánh Rán Phomai TRỨNG GÀ TA-7,000"
"Bánh Gối, Há Cảo, Bánh Rán - Hàng Chiếu",3.000đ - 8.000đ,6.5                        ,Ăn vặt/vỉa hè,"Vỉa hè 49 Hàng Chiếu, P. Đồng Xuân, Quận Hoàn Kiếm, Hà Nội",9,"Bánh - Kẹo, Ăn vặt - Ăn nhẹ", 13:00 - 19:00,0,0,0,"Bánh rán-4,000|Há cảo-5,000|Bánh gối-10,000"
Cháo Thắng - Phùng Hưng,25.000đ - 35.000đ,10.0                        ,Quán ăn,"71 Phùng Hưng, Quận Hoàn Kiếm, Hà Nội",2,"Cháo, Ăn vặt - Ăn nhẹ", 07:00 - 22:00,0,0,0,"Cháo đầy đủ (sườn, thịt, ruốc, nấm)-45,000|Cháo thịt , ruốc , nấm-45,000|Cháo thịt, ruốc-40,000|Cháo sườn, nấm-40,000|Cháo Quẩy-25,000|Cháo thịt, nấm-40,000|Cháo sườn-35,000|Cháo ruốc, nấm-40,000|Cháo thịt-35,000|Cháo nấm-35,000"
Bánh Rán Bà Huyền,4.000đ - 50.000đ,7.3                        ,Ăn vặt/vỉa hè,"35 Nhà Chung, P. Hàng Trống, Quận Hoàn Kiếm, Hà Nội",26,Ăn vặt - Ăn nhẹ, 10:00 - 18:30,0,0,0,"Bánh Mặn-7,000|Bánh Ngọt-5,000|Bánh Gối-12,000"
Bánh Rán Hoàn - Thịt Xiên & Bánh Gà,7.000đ - 24.000đ,7.6                        ,Ăn vặt/vỉa hè,"103 C6 Trần Huy Liệu, P. Giảng Võ, Quận Ba Đình, Hà Nội",71,"Bánh mì, Lẩu, Bánh - Kẹo, Ăn vặt - Ăn nhẹ, Nem, Bánh tằm, Cá/bò viên, Fastfood - Thức ăn nhanh", 10:00 - 19:00,0,0,0,"Bánh rán mặn (bánh nhỏ)-4,500|Bánh rán ngọt (bánh nhỏ)-4,500|Gà Xiên Chiên-9,900|Phomai que-6,750|Dồi sụn-9,450|Lạp sườn nướng-8,550|Xúc xích-8,550|Bánh gà -6,300|Nem Chua Rán -5,600|Bánh khoai phomai-5,600"
Pepperonis Pizza - Trần Phú,30.000đ - 220.000đ,7.0                        ,Nhà hàng,"14 Trần Phú, Quận Hà Đông, Hà Nội",66,"Cháo, Pizza & Pasta, Salad, Fastfood - Thức ăn nhanh", 10:00 - 21:30,1,0,1,"Party Deal-722,520|Giga Deal -862,920|Party Deal-722,520|Giga Deal -862,920|Coca-Cola-33,000|02 Coca-Cola lẻ-66,000|#5 Bolognaise-496,800|#3 BBQ Beef-432,000|#11 Beefy-518,400|#12 Seafood Mornay-518,400"
"Quán Hương - Cháo, Phở, Cơm, Các Món Nhậu",25.000đ - 50.000đ,1.2                        ,Quán ăn,"24 Núi Trúc, Quận Ba Đình, Hà Nội",8,"Bún, Món nước, Cơm", 09:00 - 22:00,0,0,0,
Mama's Bakery - Bánh Mì Nhật Bản,15.000đ - 60.000đ,8.5                        ,Tiệm bánh,"Tầng 1, 5 Ngõ 535 Kim Mã, P. Ngọc Khánh, Quận Ba Đình, Hà Nội",4,"Bánh mì, Bánh - Kẹo, Ăn vặt - Ăn nhẹ", 08:30 - 20:30,0,0,1,"Bánh mì nhân kem tròn／ふわふわクリームパン-25,000|Bánh mì nhân đậu đỏ/あんぱん-25,000|Bánh donut / ドーナツ-25,000|Bánh ngàn lớp nho khô / レーズンデニッシュ-25,000|Bánh mì ngô mayonaise/コーンマヨ-25,000|Bánh mì trứng gratin /たまごグラタン-25,000|Bánh burger gà nướng sốt teriyaki /てりやきチキンバーガー-35,000|Bánh mì xúc xích /ソーセージフランク-30,000|Bánh su kem /シュークリーム-25,000|Purin kiểu Nhật/ とろとろ 生ぷりん-35,000"
Bami Plus - Mai Dịch,20.000đ - 40.000đ,8.4                        ,Ăn vặt/vỉa hè,"42 Ngõ 76 Mai Dịch, P. Mai Dịch, Quận Cầu Giấy, Hà Nội",2,Ăn vặt - Ăn nhẹ, 09:30 - 21:00,0,0,0,"Bánh mì gà sốt cay-20,000|Bánh mì gà nướng-20,000|Bánh mì gà bơ tỏi-25,000|Combo Bánh mì gà bơ tỏi + Nước (trà chanh, sữa đậu, coca)-30,000|Combo Bánh mì gà nướng + Nước (trà chanh, sữa đậu, coca)-25,000|Combo Bánh mì gà sốt cay + Nước (trà chanh, sữa đậu, coca)-25,000"
Mr. Spaghetti - Shop Online - Yên Hoà,20.000đ - 200.000đ,1.0                        ,Shop Online,"34 Ngõ 259 Yên Hoà, Quận Cầu Giấy, Hà Nội",1,"Bún, Mì, Pizza & Pasta, Fastfood - Thức ăn nhanh", 09:00 - 21:00,0,0,0,"Mỳ Spaghetti Bò Bolognese + Coca/Sprite-95,000|Mỳ Ý Bò Băm Mr Spaghetti + Pizza 13cm vị bất kỳ-150,000|Mỳ Ý Mr Spaghetti Bò băm-85,000|Mỳ Ý Mr Spaghetti Hải sản-85,000|Mỳ Ý Mr Spaghetti Gà BBQ sốt kem-85,000|Mỳ Ý Mr Spaghetti Thịt nguội Kem trứng Carbonara-85,000|Mỳ Ý Mr Spaghetti Rau chay-85,000|Mỳ Ý Mr Spaghetti Bỏ lò Bò băm-110,000|Mỳ Ý Mr Spaghetti Bỏ lò Hải sản-110,000|Mỳ Ý Mr Spaghetti Bỏ lò Thịt nguội Kem trứng Carbonara-110,000"
Bánh Mì Hương Lan,15.000đ - 50.000đ,7.3                        ,Tiệm bánh,"6C Láng Hạ, P. Thành Công, Quận Ba Đình, Hà Nội",28,"Bánh mì, Xôi, Chè, Bánh - Kẹo, Ăn vặt - Ăn nhẹ, Cơm", 06:00 - 21:00,0,0,1,"Bánh Bao Thập Cẩm-20,000|Sữa Chua Uống-20,000|Bánh Bao Xá Xíu Pho Mai-25,000|Bánh Mì Thập Cẩm 20k-20,000|Bánh Mì Thập Cẩm 30k-30,000|Bánh Mì Thập Cẩm 25k-25,000|Bánh Mì TRỨNG Chả Ruốc 20k-20,000|Bánh Mì Thịt Nướng 30k-30,000|Bánh Mì TRỨNG Chả Ruốc 25k-25,000|Banh Mi O-3,000"
Pizza 4P's - Pizza Kiểu Nhật - Ngõ Bảo Khánh,100.000đ - 400.000đ,8.7                        ,Nhà hàng,"11B Ngõ Bảo Khánh, P. Hàng Trống, Quận Hoàn Kiếm, Hà Nội",13,"Pizza & Pasta, Thức uống", 10:00 - 22:30,1,0,1,
Royaltea - Phố Huế,37.000đ - 60.000đ,6.6                        ,Café/Dessert,"39 Phố Huế (98 Lê Văn Hưu), Quận Hai Bà Trưng, Hà Nội",8,"Thức uống, Trà sữa", 08:00 - 23:00,1,0,1,
Grey Tea - Lê Ngọc Hân,28.000đ - 63.000đ,8.3                        ,Café/Dessert,"17 Lê Ngọc Hân, Quận Hai Bà Trưng, Hà Nội",26,"Trà, Café - Kem, Thức uống, Trà sữa", 08:00 - 22:00,0,0,1,
Big Ben Cafe - Tuệ Tĩnh,25.000đ - 55.000đ,6.8                        ,Café/Dessert,"30 Tuệ Tĩnh, Quận Hai Bà Trưng, Hà Nội",15,"Trà, Café - Kem, Sinh tố - Nước ép, Thức uống, Sữa", 07:30 - 22:30,1,0,1,"Cà Phê Đen -30,000|Caramel Macchiato-52,000|Cappuccino-45,000|Cà Phê Cốt Dừa-42,000|Bạc Xỉu-42,000|Espresso-39,000|Americano-39,000|Socola-45,000|Cafe Trứng-55,000|Cacao Trứng-55,000"
Bánh Rán Cổ Truyền 52 - Hàng Chiếu,10.000đ - 100.000đ,7.9                        ,Ăn vặt/vỉa hè,"52 Hàng Chiếu, P. Đồng Xuân, Quận Hoàn Kiếm, Hà Nội",20,"Ăn vặt - Ăn nhẹ, Nem", 07:00 - 17:00,0,0,0,"Bánh Rán Mật-5,000|Bánh Rán Đường-5,000|Bánh rán vừng-5,500"
Royaltea - Lương Yên,30.000đ - 60.000đ,7.8                        ,Café/Dessert,"Hanoi Creative City, 1 Lương Yên, P. Bạch Đằng, Quận Hai Bà Trưng, Hà Nội",83,"Thức uống, Trà sữa", 07:00 - 22:00,1,0,1,"Trà Sữa Pudding-45,000|Sữa Tươi Trân Châu Đường Đen-55,000|Chocolate Cake Cream-55,000|Trà Sữa Cake Cream-50,000|Xoài Kem Sữa-80,000|Trà Xoài Yakult-50,000|Việt Quất Yakult-50,000|Chanh Leo Yakult-50,000|Trà Xanh Yakult-45,000|Trà Chanh Yakult-45,000"
Dũng Hạnh - Bánh Mì Giò Chả - Tô Hiệu,20.000đ - 30.000đ,8.3                        ,Ăn vặt/vỉa hè,"110-C9 Tô Hiệu, P. Dịch Vọng, Quận Cầu Giấy, Hà Nội",2,"Bánh mì, Bánh - Kẹo, Ăn vặt - Ăn nhẹ", 06:00 - 19:00,0,0,0,"Xôi Nén Chả-32,800|Xôi Nén Chả Cốm-32,800|Xôi Giò Lụa-32,800|Xôi Nén Giò Bò-36,800|Bánh Mỳ Pate Chả Nóng-37,600|Bánh Mỳ Chả Nóng-37,600|Bánh Mỳ Pate Chả Cốm-37,600|Bánh Mỳ Giò Lụa-37,600|Bánh Mỳ Pate Giò Lụa-37,600|Bánh Mì Chả Cốm-37,600"
Huy Bếp - Lẩu Cháo Chim,150.000đ - 200.000đ,7.3                        ,Nhà hàng,"2 Ngõ 20 Ngô Quyền, P. Vạn Phúc, Quận Hà Đông, Hà Nội",3,"Thịt Bò, Xôi, Lẩu, Cơm", 09:00 - 22:00,1,0,1,"Chim Rẽ Nướng-80,000|Chim Rẽ Xào Sả Ớt-100,000|Lẩu Cháo Chim Rẽ-100,000|Lẩu Cháo Chim Câu-300,000|Chim Câu Quay-120,000|Chim Câu Nướng Lá Chanh-120,000|Lẩu Chim Câu Thuốc Bắc-150,000|Gà Già Nướng-280,000|Gà Già Xào Lăn-100,000|Gà Già Xào Dưa Chua-100,000"
Phương Nga - Gà Tần & Chim Câu,25.000đ - 50.000đ,7.4                        ,Quán ăn,"310 Bạch Mai, P. Bách Khoa, Quận Hai Bà Trưng, Hà Nội",3,"Thịt Gà, Bồ Câu, Bún, Mì, Gà ác/gà hầm, Đặc sản vùng", 07:30 - 21:30,0,0,0,"Gà Tần-90,000|Mì Gà Tần-75,000"
Gà Rán KFC - Tây Sơn,30.000đ - 88.000đ,6.7                        ,Nhà hàng,"292 Tây Sơn, Quận Đống Đa, Hà Nội",85,"Thịt Gà, Gà rán, Hamburger, Ăn vặt - Ăn nhẹ, Thức uống, Nước ngọt, Fastfood - Thức ăn nhanh", 09:00 - 22:00,1,0,1,"Combo KFC Phát Lộc-86,000|Combo KFC Lộc Phát-168,000|Gà Rán (3 Miếng)-103,000|Gà Rán (2 Miếng)-69,000|Gà Rán (1 Miếng)-36,000|Hot Wings (5 Miếng)-76,000|Gà Quay (1 Miếng)-68,000|Hot Wings (3 Miếng)-49,000|Cơm Phi-Lê Gà Quay-43,000|Burger Zinger-51,000"
Thạch Trà Rau Câu Trân Châu - Trung Tự,15.000đ - 20.000đ,8.0                        ,Ăn vặt/vỉa hè,"Sân Tập Thể C10 Trung Tự, Phạm Ngọc Thạch, Quận Đống Đa, Hà Nội",1,Ăn vặt - Ăn nhẹ, 14:00 - 18:00,0,0,0,
Mì Gia Phúc Kiến,20.000đ - 50.000đ,6.9                        ,Quán ăn,"116 Trần Nhật Duật , Quận Hoàn Kiếm, Hà Nội",19,"Bún, Hủ tiếu, Mì, Món nước, Miến, Hoành Thánh - Vằn Thắn, Sủi cảo", 06:30 - 12:45 | 16:00 - 23:00,0,0,0,"Mỳ Vằn Thắn-50,000|Sủi Cảo Mỳ-65,000|Hủ Tiếu Khô-55,000|Mỳ Khô-70,000|Sủi Cảo-65,000|Sủi Cảo Chiên-60,000|Quẩy-10,000|Hủ Tiếu-50,000|Vằn Thắn-50,000"
Lê Thịnh - Xôi Chè Phố Cổ,15.000đ - 33.000đ,7.2                        ,Ăn vặt/vỉa hè,"26 Gia Ngư, P. Hàng Bạc, Quận Hoàn Kiếm, Hà Nội",16,"Xôi, Chè, Ăn vặt - Ăn nhẹ", 07:00 - 19:00,0,0,0,"Chè Cốm (nhỏ)-25,000|Xôi cốm (nhỏ)-40,000|Xôi cốm (to)-60,000|Chè Kho-30,000|Xôi gấc (nhỏ)-40,000|Chè Con Ong-20,000|Chè Cốm (to)-40,000|Xôi gấc (to)-50,000|Bánh chưng (nhỏ)-50,000|Bánh chưng (to)-70,000"
BBQ Cơm Sườn Phố Cổ - Trần Đại Nghĩa,20.000đ - 100.000đ,4.5                        ,Quán ăn,"241 Trần Đại Nghĩa, P. Đồng Tâm, Quận Hai Bà Trưng, Hà Nội",11,"Cơm Chiên, Cơm", 10:00 - 14:00 | 17:00 - 21:30,0,0,0,"Cơm Đảo Xíu-65,000|Cơm Đảo Sườn-65,000|Cơm Đảo Gà-65,000|Cơm Đảo Cá Kho-65,000|Cơm đảo bò gagu-65,000|Cơm Xá Xíu BBq Truyền Thống-60,000|Cơm Sườn Nướng BBQ Truyền Thống-60,000|Cơm Cá Kho BBQ Truyền Thống-60,000|Cơm Đùi Gà Nướng Truyền Thống-60,000|Cơm bò gagu-60,000"
Hải Yến - Mì Vằn Thắn & Sủi Cảo,25.000đ - 30.000đ,7.8                        ,Quán ăn,"136 Đông Các, P. Ô Chợ Dừa, Quận Đống Đa, Hà Nội",8,"Món nước, Mì", 06:00 - 21:00,0,0,0,"Mì Vằn Thắn-45,000|Mỳ vằn thắn trộn-45,000|Sủi cảo đây đủ(không mỳ)-45,000|Sữa đậu nành-15,000|Coca-Cola-15,000|Sủi cảo-20,000|Há cảo chiên-20,000|Quẩy-20,000|Kim chi-15,000|Hộp đựng nước dùng-5,000"
