name,price,avgpoint,category,location,num_reviews,dish_categories,time_open,dieu_hoa,bong_da,wifi,cuisines,min_price,max_price,avg_price
Mập Ú - Mì Trộn Indomie - Nguyễn Trãi,20000 - 200000,10.0,Quán ăn,"Số nhà 1 ngách 72/1/101, Nguyễn Trãi, P. Nhân Chính, Quận Thanh Xuân, Hà Nội",2,"Bún, Mì, Ăn vặt - Ăn nhẹ, Nem", 10:00 - 23:00,0,0,0,Bún Mì Ăn vặt  Ăn nhẹ Nem; Bún Mì Ăn vặt  Ăn nhẹ Nem; Combo  Thập cẩm đặc  biệt +  Combo viên tổng hợpMì Trộn Thập CẩmMì Trộn Thập Cẩm Đặc BiệtMì Trộn Bò KhôMì Trộn  Hải Sản Viên ChiênMì Trộn Nem Chua Rán Khô Heo Cháy TỏiMì Trộn Đặc Biệt Siêu ToppingIndomie Siêu CấpppMì Trộn Nem Chua RánMì Trộn Đặc Biệt V.I.P,20000,200000,110000.0
Chè Ngon & Nước Ép Trái Cây - Hàng Giấy,20000 - 50000,6.9,Café/Dessert,"33 Hàng Giấy, P. Đồng Xuân, Quận Hoàn Kiếm, Hà Nội",3,Café - Kem, 09:00 - 22:00,0,0,1,Café  Kem; Café  Kem; Dừa Dầm Hải PhòngChè Bưởi An GiangChè Thái BưởiChè Sương Sa Hạt LựuChè Dừa Non Lá NếpChè Sầu RiêngChè Thập Cẩm Ngũ SắcChè Khúc BạchChè Thập Cẩm Ngũ SắcMatcha Dừa Non Caramen,20000,50000,35000.0
Hương Ốc - Ốc Hải Phòng,40000 - 100000,8.9,Ăn vặt/vỉa hè,"101B8 Ngõ 43 Phạm Ngọc Thạch, P. Kim Liên, Quận Đống Đa, Hà Nội",2,"Tôm, Bún, Hủ tiếu, Hải sản, Mì, Miến, Nghêu - Sò - Ốc , Ăn vặt - Ăn nhẹ, Trứng vịt lộn", 15:00 - 23:00,0,0,0,Tôm Bún Hủ tiếu Hải sản Mì Miến Nghêu  Sò  Ốc  Ăn vặt  Ăn nhẹ Trứng vịt lộn; Tôm Bún Hủ tiếu Hải sản Mì Miến Nghêu  Sò  Ốc  Ăn vặt  Ăn nhẹ Trứng vịt lộn; Cút Lộn Sốt MeNem Chua ChiênHàu Nướng Phô MaiỐc Mít Luộc Sả ChanhNgao Trắng Hấp TháiỐc Len Xào DừaMiến Xào Hải Sản Suất NhỏỐc Móng Tay Bơ TỏiSò Huyết Nướng MọiỐc Mít Luộc Mắm,40000,100000,70000.0
Cường Hói - Vịt Quay Lạng Sơn,270000 - 270000,6.8,Quán ăn,"3 Ngõ 165 Dương Quảng Hàm, P. Quan Hoa, Quận Cầu Giấy, Hà Nội",1,"Phở, Bún, Lẩu, Thịt Vịt", 07:00 - 19:00,0,0,0,Phở Bún Lẩu Thịt Vịt; Phở Bún Lẩu Thịt Vịt; Vịt Quay  Nửa ConVịt Quay Nguyên ConPhở ChuaGà Hấp Muối Nguyên ConLưỡi Vịt Rang MuốiVịt HấpChân Gà Ngâm Sả ỚtVịt Rang Muối Nguyên ConVịt Chua Ngọt Cháy TỏiNgô Chiên Bơ,270000,270000,270000.0
Vịt 29 - Thái Hà - Cơm Xôi Phở Cháo,100000 - 220000,7.1,Quán ăn,"44 Thái Hà, Quận Đống Đa, Hà Nội",127,"Phở, Bún, Xôi, Thịt Vịt, Cơm văn phòng, Cơm", 10:00 - 20:00,0,0,1,Phở Bún Xôi Thịt Vịt Cơm văn phòng Cơm; Phở Bún Xôi Thịt Vịt Cơm văn phòng Cơm; CocaCola chỉ Đ CocaCola  lonCombo Cơm Cua Biển Băm Nướng +  CocaColaCombo Xôi Mực Băm Nướng +  CocaColaCombo  Phở Cua biển băm nướng trộn sốt XO +  CocaColaCombo  Bánh mì tôm băm nướng +  CocaColaVịt Quay nửa con  ToVịt Quay cả con  ToVịt Quay nửa con  NhỏVịt rang muối,100000,220000,160000.0
Lệ Rơi - Ốc & Các Món Ăn Vặt,25000 - 30000,2.7,Ăn vặt/vỉa hè,"172 Đại Từ, P. Đại Kim, Quận Hoàng Mai, Hà Nội",6,"Hải sản, Bào Ngư, Nghêu - Sò - Ốc , Ăn vặt - Ăn nhẹ, Nem", 09:00 - 22:00,0,0,0,Hải sản Bào Ngư Nghêu  Sò  Ốc  Ăn vặt  Ăn nhẹ Nem; Hải sản Bào Ngư Nghêu  Sò  Ốc  Ăn vặt  Ăn nhẹ Nem; Ốc Nhỏ LuộcỐc Mít LuộcNgao HấpPhô Mai QueCaramenKhoai Tây ChiênKhoai Lang ChiênSữa Đậu NànhKhoai Tây LắcKhoai Lang Kén,25000,30000,27500.0
50 Dessert - Dừa Dầm & Kem Bơ,10000 - 30000,5.8,Café/Dessert,"50 Trần Xuân Soạn, Quận Hai Bà Trưng, Hà Nội",34,"Chè, Café - Kem, Ăn vặt - Ăn nhẹ, Trái cây", 06:30 - 22:00,0,0,0,Chè Café  Kem Ăn vặt  Ăn nhẹ Trái cây; Chè Café  Kem Ăn vặt  Ăn nhẹ Trái cây; Kem BơDừa DầmChè Dừa Non Lá NếpCaramen  QChè Khúc BạchChè Bưởi Cốt DừaKem XoàiSữa Chua Thạch Lá NếpSữa Chua LắcSữa Chua Mít,10000,30000,20000.0
MIN - Lẩu Sạch & Chân Cánh Gà,50000 - 200000,7.8,Quán ăn,"15 Chùa Quỳnh, Quận Hai Bà Trưng, Hà Nội",24,"Thịt Gà, Tôm, Bún, Thịt Bò, Hải sản, Mì, Lẩu, Chân cánh gà nướng, Mực, Salad", 10:00 - 14:00 | 16:30 - 22:00,1,0,1,Thịt Gà Tôm Bún Thịt Bò Hải sản Mì Lẩu Chân cánh gà nướng Mực Salad; Thịt Gà Tôm Bún Thịt Bò Hải sản Mì Lẩu Chân cánh gà nướng Mực Salad; Chân gà chiên mắmCánh gà chiên mắmChân gà rang muốiChân gà sả ớtChân gà sốt meCánh gà rang muốiChân gà sốt cayCánh gà sốt meKhoai tây chiênCánh gà lắc phô mai,50000,200000,125000.0
Phở Bò - 48 Hàng Đồng,20000 - 55000,7.9,Quán ăn,"48 Hàng Đồng, Quận Hoàn Kiếm, Hà Nội",4,Phở, 17:00 - 23:00 | 06:00 - 13:00,0,0,0,Phở; Phở; Phở ChínPhở Chín GầuPhở Tái NạmPhở BắpPhở Tái GầuPhở Tái ChínPhở Tái GiònPhở Tái,20000,55000,37500.0
OiA Coffee,20000 - 100000,6.6,Café/Dessert,"73 Trần Quốc Toản, P. Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội",3,"Café - Kem, Thức uống", 08:00 - 22:00,0,0,0,Café  Kem Thức uống; Café  Kem Thức uống; MâyCaramel macchiatoColdbrew citrusLatte White cold brewCold brewAmericanoCappuccino,20000,100000,60000.0
Cháo 37 - Cháo Tim Gan & Cháo Gà,20000 - 30000,4.9,Quán ăn,"37 Võ Chí Công, P. Xuân La, Quận Tây Hồ, Hà Nội",4,"Cháo, Ăn vặt - Ăn nhẹ", 09:00 - 21:00,0,0,0,,20000,30000,25000.0
Lẩu Nấm Ashima - Huỳnh Thúc Kháng,100000 - 330000,9.2,Nhà hàng,"17 Huỳnh Thúc Kháng, Quận Đống Đa, Hà Nội",16,Lẩu, 11:00 - 22:00,1,0,1,,100000,330000,215000.0
Stirling Steaks Vietnam,100000 - 300000,7.9,Nhà hàng,"15B Ngô Văn Sở, P. Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội",17,Thịt Bò, 10:00 - 21:00,0,0,1,Thịt Bò; Thịt Bò; Ribeye grComboo Combo kCombo kPumpkin SoupMushroom SoupGreen SaladStirling BurgerBeef Spaghetti,100000,300000,200000.0
Cháo Lòng Nguyễn Quyền,30000 - 150000,7.3,Quán ăn,"73 Trần Nhân Tông, P. Nguyễn Du, Quận Hai Bà Trưng, Hà Nội",3,"Thịt Heo, Cháo, Lẩu, Ăn vặt - Ăn nhẹ", 07:00 - 15:00,0,0,0,Thịt Heo Cháo Lẩu Ăn vặt  Ăn nhẹ; Thịt Heo Cháo Lẩu Ăn vặt  Ăn nhẹ; Cháo Thập Cẩm NhỏCháo Thập Cẩm ToLòng Xào Dưa LớnLòng Đĩa Tiết LuộcLòng Đĩa Lòng Đĩa Lòng Đĩa Giả Cầy ToLòng Đĩa ,30000,150000,90000.0
Sườn Mười - Sườn Nướng BBQ,79000 - 319000,7.5,Quán ăn,"264 Hoàng Văn Thái, P. Khương Trung, Quận Thanh Xuân, Hà Nội",137,"Hamburger, Thịt Heo, Sườn nướng, Lẩu, Fastfood - Thức ăn nhanh", 10:00 - 22:00,0,0,1,Hamburger Thịt Heo Sườn nướng Lẩu Fastfood  Thức ăn nhanh; Hamburger Thịt Heo Sườn nướng Lẩu Fastfood  Thức ăn nhanh; Sườn Nướng Tại Gia kgCombo Ribs PlusCombo Save MoreCombo Friend ClubCombo BCombo CCombo DCombo BCombo CCombo D,79000,319000,199000.0
Lẩu Phan - Buffet Bò Úc - Láng Hạ,100000 - 150000,7.3,Quán ăn,"16 Ngõ 59 Láng Hạ, Quận Đống Đa, Hà Nội",12,Lẩu, 10:00 - 22:00,1,0,1,,100000,150000,125000.0
Góc Đà Lạt - Lẩu Gà Lá É - Mễ Trì Hạ,200000 - 300000,9.2,Quán ăn,"Chung Cư CT3-1 Mễ Trì Hạ, P. Mễ Trì, Quận Nam Từ Liêm, Hà Nội",12,Lẩu, 10:00 - 22:00,0,0,1,Lẩu; Lẩu; Lẩu Gà Lá É (vừa)Lẩu Gà Lá É (lớn)Lẩu bò ba toa nồi vừaLẩu Ếch (vừa)Lẩu bò  ba toa nồi lớnLẩu Ếch (lớn)Lá É ThêmVáng đậuNấm thập cẩmMăng thêm,200000,300000,250000.0
Bánh Rán & Bánh Cay - Nguyễn Viết Xuân,10000 - 15000,6.7,Ăn vặt/vỉa hè,"2 Nguyễn Viết Xuân, Quận Hà Đông, Hà Nội",3,Ăn vặt - Ăn nhẹ, 09:00 - 20:00,0,0,0,,10000,15000,12500.0
"Bánh Ngon Phố Cổ - Bánh Chuối, Bánh Gối & Há Cảo",10000 - 30000,3.0,Ăn vặt/vỉa hè,"3 Cửa Đông, P. Hàng Bồ, Quận Hoàn Kiếm, Hà Nội",1,Ăn vặt - Ăn nhẹ, 13:00 - 20:00,0,0,0,Ăn vặt  Ăn nhẹ; Ăn vặt  Ăn nhẹ; Bánh ChuốiBánh KhoaiBánh GốiBánh NgôHá CảoBánh Nem RánKhoai Tây Lắc Phô Mai,10000,30000,20000.0
Bánh Ngon Phố Cổ - Bánh Gối & Bánh Rán,10000 - 20000,6.9,Ăn vặt/vỉa hè,"3 Cửa Đông, Quận Hoàn Kiếm, Hà Nội",2,Ăn vặt - Ăn nhẹ, 14:00 - 20:00,0,0,0,,10000,20000,15000.0
Bánh Rán - Trương Định,5000 - 25000,5.9,Ăn vặt/vỉa hè,"398 Trương Định, P. Tương Mai, Quận Hoàng Mai, Hà Nội",5,"Bánh - Kẹo, Ăn vặt - Ăn nhẹ, Nem, Bánh tằm", 13:00 - 19:00,0,0,0,Bánh  Kẹo Ăn vặt  Ăn nhẹ Nem Bánh tằm; Bánh  Kẹo Ăn vặt  Ăn nhẹ Nem Bánh tằm; Coca ColaC ChanhBò HúcBánh Rán MặnNem Chua RánBánh Rán NgọtBánh Rán Mật(Mua  Tặng )Bánh GốiBánh Rán Đường(Mua  Tặng )Phô Mai Que,5000,25000,15000.0
Bánh Gối Lê Đại Hành,20000 - 55000,7.0,Quán ăn,"25 Lê Đại Hành, Quận Hai Bà Trưng, Hà Nội",64,Ăn vặt - Ăn nhẹ, ,0,0,0,Ăn vặt  Ăn nhẹ; Ăn vặt  Ăn nhẹ; Bánh TômBánh GốiNem chua rán ( cái)Khoai lang chiên tẩm bộtBánh Há cảo ( cái)Trứng cút lộnTrứng cút lộn xào meỐc luộc nhỏỐc luộc lẫnỐc luộc to,20000,55000,37500.0
Chị Tuyết - Nem Rán & Bánh Gối,5000 - 10000,8.0,Ăn vặt/vỉa hè,"TT. C9 Kim Liên (Ngõ 150 Lương Định Của), Quận Đống Đa, Hà Nội",1,"Bánh - Kẹo, Ăn vặt - Ăn nhẹ", 14:00 - 19:30,0,0,0,,5000,10000,7500.0
Bánh Gà Hồng Mai - Gà Rán & Khoai Lắc,10000 - 45000,10.0,Quán ăn,"171 Triều Khúc,  X. Tân Triều, Huyện Thanh Trì, Hà Nội",1,"Bún, Mì, Cơm", 08:00 - 21:00,0,0,0,Bún Mì Cơm; Bún Mì Cơm; Bánh gà đặc biệt   cái +cocaNem chua đặc biệt  cái +fantaNem chua đặc biệt  cái + CocaCánh  gà KFC  To + SpriteBánh gà đặc biệt   cáiNem chua đặc biệt   cáiGà viên lắc phô maiKhoai lang hoặc khoai tây lắcBánh gà phomai đặc biệt  cáiBánh rán ngọt   cái,10000,45000,27500.0
"Thanh Hải - Chè Dừa Non, Tào Phớ & Bánh Rán Các Loại",5000 - 15000,6.9,Ăn vặt/vỉa hè,"Ngõ 35 Kim Mã Thượng, P. Cống Vị, Quận Ba Đình, Hà Nội",5,"Chè, Bánh - Kẹo, Ăn vặt - Ăn nhẹ", 09:00 - 21:00,0,0,0,Chè Bánh  Kẹo Ăn vặt  Ăn nhẹ; Chè Bánh  Kẹo Ăn vặt  Ăn nhẹ; Bánh Rán MặnChè Tào Phớ Hoa NhàiBánh ChuốiChè Dừa NonChè Thập CẩmBánh KhoaiBánh NgôBánh Rán NgọtChè Ngô CốmChè Đậu Xanh,5000,15000,10000.0
Donuts Ba - Bánh Rán & Bún Đậu Mẹt,4000 - 40000,9.5,Quán ăn,"162 Tân Mai, P. Tân Mai, Quận Hoàng Mai, Hà Nội",3,"Thịt Heo, Món nước, Ăn vặt - Ăn nhẹ", 08:00 - 18:00,0,0,1,Thịt Heo Món nước Ăn vặt  Ăn nhẹ; Thịt Heo Món nước Ăn vặt  Ăn nhẹ; Bánh Rán MậtBánh Rán ĐườngBánh Rán VừngCombo  Bánh Rán Ngọt Donuts BaCombo  Bánh MậtVừng Đường Donuts BaCombo  Bánh Ngọt Donuts BaCombo  Bánh Rán Vừng ĐườngCombo  Bánh rán Ngọt Donuts BaChè Dừa DẻoChè Bưởi Caramen,4000,40000,22000.0
Bánh Rán - Đinh Liệt,4000 - 10000,7.5,Ăn vặt/vỉa hè,"16 Đinh Liệt, P. Hàng Bạc, Quận Hoàn Kiếm, Hà Nội",6,"Bánh - Kẹo, Ăn vặt - Ăn nhẹ, Nem, Bánh tằm", 09:00 - 20:00,0,0,0,Bánh  Kẹo Ăn vặt  Ăn nhẹ Nem Bánh tằm; Bánh  Kẹo Ăn vặt  Ăn nhẹ Nem Bánh tằm; Bánh Rán MặnBánh Rán Ngọt,4000,10000,7000.0
"Ngọc Juices - Nước Ép, Sinh Tố & Đồ Ăn Vặt",20000 - 50000,7.8,Café/Dessert,"83C Nguyễn Khang, P. Yên Hòa, Quận Cầu Giấy, Hà Nội",3,Café - Kem, 08:00 - 23:00,1,0,1,Café  Kem; Café  Kem; Nước Ép CócNước Ép CamNước Ép Dưa HấuNước ép Cam Dứa Nước Ép TáoNước ép Cam Cà RốtNước ép Táo DứaNước ép Dứa Cà RốtNước Ép Chanh LeoNước Ép Đu Đủ,20000,50000,35000.0
Bà Mỳ - Bánh Rán Các Loại,3000 - 10000,8.5,Ăn vặt/vỉa hè,"76 Ngõ Gốc Đề, Quận Hoàng Mai, Hà Nội",2,Ăn vặt - Ăn nhẹ, 07:00 - 21:00,0,0,0,,3000,10000,6500.0
"Gia Hân - Quẩy Nóng, Quẩy Đùi Gà & Bánh Rán - Trung Kính",20000 - 60000,9.4,Ăn vặt/vỉa hè,"10A Hẻm 43/99/32 Trung Kính, P. Trung Hòa, Quận Cầu Giấy, Hà Nội",6,"Bánh - Kẹo, Ăn vặt - Ăn nhẹ, Fastfood - Thức ăn nhanh", 06:30 - 22:00,0,0,0,Bánh  Kẹo Ăn vặt  Ăn nhẹ Fastfood  Thức ăn nhanh; Bánh  Kẹo Ăn vặt  Ăn nhẹ Fastfood  Thức ăn nhanh;  Chiếc Quẩy Đùi Gà ( Mềm Không dai) Chiếc Quẩy Đùi Gà ( Không Bị Dai) Chiếc Bánh Đùi Gà Vị Trà Xanh Chiếc Bánh Đùi Gà Vị Trà XanhQuẩy Mặn Khổng Lồ  ChiếcBánh Rán MặnBánh Rán Vừng  ChiếcBánh Tiêu,20000,60000,40000.0
Cô Hoa - Bánh Rán & Bánh Gối,5000 - 9998,8.7,Ăn vặt/vỉa hè,"111B3 Vĩnh Hồ, Thịnh Quang, P. Thịnh Quang, Quận Đống Đa, Hà Nội",6,"Bánh - Kẹo, Ăn vặt - Ăn nhẹ, Bánh tằm", 13:30 - 19:00,0,0,0,Bánh  Kẹo Ăn vặt  Ăn nhẹ Bánh tằm; Bánh  Kẹo Ăn vặt  Ăn nhẹ Bánh tằm; Phở Cuốn,5000,9998,7499.0
Bánh Rán Gia Truyền Bà Phúc,50000 - 50000,8.2,Shop Online,"15 Ngõ 292 Chợ Khâm Thiên, P. Phương Liên, Quận Đống Đa, Hà Nội",1,Bánh - Kẹo, 08:00 - 20:00,0,0,0,Bánh  Kẹo; Bánh  Kẹo; Set  Bánh MậtSet  Bánh VừngSet  Bánh Rán MixSet  Bánh Đường,50000,50000,50000.0
Bánh Rán Văn Thị - Thái Thịnh,2000 - 6000,7.5,Ăn vặt/vỉa hè,"196 Thái Thịnh, P. Láng Hạ, Quận Đống Đa, Hà Nội",5,"Bánh - Kẹo, Home-made, Ăn vặt - Ăn nhẹ, Bánh tằm", 14:00 - 18:00,0,0,0,Bánh  Kẹo Homemade Ăn vặt  Ăn nhẹ Bánh tằm; Bánh  Kẹo Homemade Ăn vặt  Ăn nhẹ Bánh tằm; Bánh Rán MặnBánh Rán NgọtBánh Rán Phomai TRỨNG GÀ TA,2000,6000,4000.0
"Bánh Gối, Há Cảo, Bánh Rán - Hàng Chiếu",3000 - 8000,6.5,Ăn vặt/vỉa hè,"Vỉa hè 49 Hàng Chiếu, P. Đồng Xuân, Quận Hoàn Kiếm, Hà Nội",9,"Bánh - Kẹo, Ăn vặt - Ăn nhẹ", 13:00 - 19:00,0,0,0,Bánh  Kẹo Ăn vặt  Ăn nhẹ; Bánh  Kẹo Ăn vặt  Ăn nhẹ; Bánh ránHá cảoBánh gối,3000,8000,5500.0
Cháo Thắng - Phùng Hưng,25000 - 35000,10.0,Quán ăn,"71 Phùng Hưng, Quận Hoàn Kiếm, Hà Nội",2,"Cháo, Ăn vặt - Ăn nhẹ", 07:00 - 22:00,0,0,0,Cháo Ăn vặt  Ăn nhẹ; Cháo Ăn vặt  Ăn nhẹ; Cháo đầy đủ (sườn thịt ruốc nấm)Cháo thịt  ruốc  nấmCháo thịt ruốcCháo sườn nấmCháo QuẩyCháo thịt nấmCháo sườnCháo ruốc nấmCháo thịtCháo nấm,25000,35000,30000.0
Bánh Rán Bà Huyền,4000 - 50000,7.3,Ăn vặt/vỉa hè,"35 Nhà Chung, P. Hàng Trống, Quận Hoàn Kiếm, Hà Nội",26,Ăn vặt - Ăn nhẹ, 10:00 - 18:30,0,0,0,Ăn vặt  Ăn nhẹ; Ăn vặt  Ăn nhẹ; Bánh MặnBánh NgọtBánh Gối,4000,50000,27000.0
Bánh Rán Hoàn - Thịt Xiên & Bánh Gà,7000 - 24000,7.6,Ăn vặt/vỉa hè,"103 C6 Trần Huy Liệu, P. Giảng Võ, Quận Ba Đình, Hà Nội",71,"Bánh mì, Lẩu, Bánh - Kẹo, Ăn vặt - Ăn nhẹ, Nem, Bánh tằm, Cá/bò viên, Fastfood - Thức ăn nhanh", 10:00 - 19:00,0,0,0,Bánh mì Lẩu Bánh  Kẹo Ăn vặt  Ăn nhẹ Nem Bánh tằm Cá/bò viên Fastfood  Thức ăn nhanh; Bánh mì Lẩu Bánh  Kẹo Ăn vặt  Ăn nhẹ Nem Bánh tằm Cá/bò viên Fastfood  Thức ăn nhanh; Bánh rán mặn (bánh nhỏ)Bánh rán ngọt (bánh nhỏ)Gà Xiên ChiênPhomai queDồi sụnLạp sườn nướngXúc xíchBánh gà Nem Chua Rán Bánh khoai phomai,7000,24000,15500.0
Pepperonis Pizza - Trần Phú,30000 - 220000,7.0,Nhà hàng,"14 Trần Phú, Quận Hà Đông, Hà Nội",66,"Cháo, Pizza & Pasta, Salad, Fastfood - Thức ăn nhanh", 10:00 - 21:30,1,0,1,Cháo Pizza & Pasta Salad Fastfood  Thức ăn nhanh; Cháo Pizza & Pasta Salad Fastfood  Thức ăn nhanh; Party DealGiga Deal Party DealGiga Deal CocaCola CocaCola lẻ# Bolognaise# BBQ Beef# Beefy# Seafood Mornay,30000,220000,125000.0
"Quán Hương - Cháo, Phở, Cơm, Các Món Nhậu",25000 - 50000,1.2,Quán ăn,"24 Núi Trúc, Quận Ba Đình, Hà Nội",8,"Bún, Món nước, Cơm", 09:00 - 22:00,0,0,0,,25000,50000,37500.0
Mama's Bakery - Bánh Mì Nhật Bản,15000 - 60000,8.5,Tiệm bánh,"Tầng 1, 5 Ngõ 535 Kim Mã, P. Ngọc Khánh, Quận Ba Đình, Hà Nội",4,"Bánh mì, Bánh - Kẹo, Ăn vặt - Ăn nhẹ", 08:30 - 20:30,0,0,1,Bánh mì Bánh  Kẹo Ăn vặt  Ăn nhẹ; Bánh mì Bánh  Kẹo Ăn vặt  Ăn nhẹ; Bánh mì nhân kem tròn／ふわふわクリームパンBánh mì nhân đậu đỏ/あんぱんBánh donut / ドーナツBánh ngàn lớp nho khô / レーズンデニッシュBánh mì ngô mayonaise/コーンマヨBánh mì trứng gratin /たまごグラタンBánh burger gà nướng sốt teriyaki /てりやきチキンバーガーBánh mì xúc xích /ソーセージフランクBánh su kem /シュークリームPurin kiểu Nhật/ とろとろ 生ぷりん,15000,60000,37500.0
Bami Plus - Mai Dịch,20000 - 40000,8.4,Ăn vặt/vỉa hè,"42 Ngõ 76 Mai Dịch, P. Mai Dịch, Quận Cầu Giấy, Hà Nội",2,Ăn vặt - Ăn nhẹ, 09:30 - 21:00,0,0,0,Ăn vặt  Ăn nhẹ; Ăn vặt  Ăn nhẹ; Bánh mì gà sốt cayBánh mì gà nướngBánh mì gà bơ tỏiCombo Bánh mì gà bơ tỏi + Nước (trà chanh sữa đậu coca)Combo Bánh mì gà nướng + Nước (trà chanh sữa đậu coca)Combo Bánh mì gà sốt cay + Nước (trà chanh sữa đậu coca),20000,40000,30000.0
Mr. Spaghetti - Shop Online - Yên Hoà,20000 - 200000,1.0,Shop Online,"34 Ngõ 259 Yên Hoà, Quận Cầu Giấy, Hà Nội",1,"Bún, Mì, Pizza & Pasta, Fastfood - Thức ăn nhanh", 09:00 - 21:00,0,0,0,Bún Mì Pizza & Pasta Fastfood  Thức ăn nhanh; Bún Mì Pizza & Pasta Fastfood  Thức ăn nhanh; Mỳ Spaghetti Bò Bolognese + Coca/SpriteMỳ Ý Bò Băm Mr Spaghetti + Pizza cm vị bất kỳMỳ Ý Mr Spaghetti Bò bămMỳ Ý Mr Spaghetti Hải sảnMỳ Ý Mr Spaghetti Gà BBQ sốt kemMỳ Ý Mr Spaghetti Thịt nguội Kem trứng CarbonaraMỳ Ý Mr Spaghetti Rau chayMỳ Ý Mr Spaghetti Bỏ lò Bò bămMỳ Ý Mr Spaghetti Bỏ lò Hải sảnMỳ Ý Mr Spaghetti Bỏ lò Thịt nguội Kem trứng Carbonara,20000,200000,110000.0
Bánh Mì Hương Lan,15000 - 50000,7.3,Tiệm bánh,"6C Láng Hạ, P. Thành Công, Quận Ba Đình, Hà Nội",28,"Bánh mì, Xôi, Chè, Bánh - Kẹo, Ăn vặt - Ăn nhẹ, Cơm", 06:00 - 21:00,0,0,1,Bánh mì Xôi Chè Bánh  Kẹo Ăn vặt  Ăn nhẹ Cơm; Bánh mì Xôi Chè Bánh  Kẹo Ăn vặt  Ăn nhẹ Cơm; Bánh Bao Thập CẩmSữa Chua UốngBánh Bao Xá Xíu Pho MaiBánh Mì Thập Cẩm kBánh Mì Thập Cẩm kBánh Mì Thập Cẩm kBánh Mì TRỨNG Chả Ruốc kBánh Mì Thịt Nướng kBánh Mì TRỨNG Chả Ruốc kBanh Mi O,15000,50000,32500.0
Pizza 4P's - Pizza Kiểu Nhật - Ngõ Bảo Khánh,100000 - 400000,8.7,Nhà hàng,"11B Ngõ Bảo Khánh, P. Hàng Trống, Quận Hoàn Kiếm, Hà Nội",13,"Pizza & Pasta, Thức uống", 10:00 - 22:30,1,0,1,,100000,400000,250000.0
Royaltea - Phố Huế,37000 - 60000,6.6,Café/Dessert,"39 Phố Huế (98 Lê Văn Hưu), Quận Hai Bà Trưng, Hà Nội",8,"Thức uống, Trà sữa", 08:00 - 23:00,1,0,1,,37000,60000,48500.0
Grey Tea - Lê Ngọc Hân,28000 - 63000,8.3,Café/Dessert,"17 Lê Ngọc Hân, Quận Hai Bà Trưng, Hà Nội",26,"Trà, Café - Kem, Thức uống, Trà sữa", 08:00 - 22:00,0,0,1,,28000,63000,45500.0
Big Ben Cafe - Tuệ Tĩnh,25000 - 55000,6.8,Café/Dessert,"30 Tuệ Tĩnh, Quận Hai Bà Trưng, Hà Nội",15,"Trà, Café - Kem, Sinh tố - Nước ép, Thức uống, Sữa", 07:30 - 22:30,1,0,1,Trà Café  Kem Sinh tố  Nước ép Thức uống Sữa; Trà Café  Kem Sinh tố  Nước ép Thức uống Sữa; Cà Phê Đen Caramel MacchiatoCappuccinoCà Phê Cốt DừaBạc XỉuEspressoAmericanoSocolaCafe TrứngCacao Trứng,25000,55000,40000.0
Bánh Rán Cổ Truyền 52 - Hàng Chiếu,10000 - 100000,7.9,Ăn vặt/vỉa hè,"52 Hàng Chiếu, P. Đồng Xuân, Quận Hoàn Kiếm, Hà Nội",20,"Ăn vặt - Ăn nhẹ, Nem", 07:00 - 17:00,0,0,0,Ăn vặt  Ăn nhẹ Nem; Ăn vặt  Ăn nhẹ Nem; Bánh Rán MậtBánh Rán ĐườngBánh rán vừng,10000,100000,55000.0
Royaltea - Lương Yên,30000 - 60000,7.8,Café/Dessert,"Hanoi Creative City, 1 Lương Yên, P. Bạch Đằng, Quận Hai Bà Trưng, Hà Nội",83,"Thức uống, Trà sữa", 07:00 - 22:00,1,0,1,Thức uống Trà sữa; Thức uống Trà sữa; Trà Sữa PuddingSữa Tươi Trân Châu Đường ĐenChocolate Cake CreamTrà Sữa Cake CreamXoài Kem SữaTrà Xoài YakultViệt Quất YakultChanh Leo YakultTrà Xanh YakultTrà Chanh Yakult,30000,60000,45000.0
Dũng Hạnh - Bánh Mì Giò Chả - Tô Hiệu,20000 - 30000,8.3,Ăn vặt/vỉa hè,"110-C9 Tô Hiệu, P. Dịch Vọng, Quận Cầu Giấy, Hà Nội",2,"Bánh mì, Bánh - Kẹo, Ăn vặt - Ăn nhẹ", 06:00 - 19:00,0,0,0,Bánh mì Bánh  Kẹo Ăn vặt  Ăn nhẹ; Bánh mì Bánh  Kẹo Ăn vặt  Ăn nhẹ; Xôi Nén ChảXôi Nén Chả CốmXôi Giò LụaXôi Nén Giò BòBánh Mỳ Pate Chả NóngBánh Mỳ Chả NóngBánh Mỳ Pate Chả CốmBánh Mỳ Giò LụaBánh Mỳ Pate Giò LụaBánh Mì Chả Cốm,20000,30000,25000.0
